Audio,PalavraAlvo,Item,Group
VACA1.mp3,MANTEIGA,1,A
MACACO1.mp3,BANANA,2,A
PIRANHA1.mp3,PERIGO,3,A
PERUA1.mp3,BICO,4,A
GATO1.mp3,AREIA,5,A
AVIÃO1.mp3,ATRAÇÃO,6,A
PRÍNCIPE1.mp3,ROMANCE,7,A
BRUXA1.mp3,MALDADE,8,A
FLOR1.mp3,VESTIDO,9,A
CACHORRO1.mp3,COVARDIA,10,A
COBRA1.mp3,SORVETE,11,A
BONECA1.mp3,JANELA,12,A
BALEIA1.mp3,ANTENA,13,A
MÚMIA1.mp3,ESPAÇO,14,A
VEADO1.mp3,BASQUETE,15,A
TOLUCA1.mp3,TOLUCA,16,A
PANDECA1.mp3,PANDECA,17,A
VILCOLTO1.mp3,VILCOLTO,18,A
TREMOÇO1.mp3,TREMOÇO,19,A
AZEDUME1.mp3,AZEDUME,20,A
BOÇAL1.mp3,BOÇAL,21,A
SIDEBO1.mp3,SIDEBO,22,A
ASTÚCIA1.mp3,ASTÚCIA,23,A
LINETO1.mp3,LINETO,24,A
BALAÚSTRE1.mp3,BALAÚSTRE,25,A
CALOREDA1.mp3,CALOREDA,26,A
POCILGA1.mp3,POCILGA,27,A
PARAVO1.mp3,PARAVO,28,A
EFLÚVIO1.mp3,EFLÚVIO,29,A
BINOTA1.mp3,BINOTA,30,A
LABÉU1.mp3,LABÉU,31,A
DINOSCADO1.mp3,DINOSCADO,32,A
CUNTATÓRIO1.mp3,CUNTATÓRIO,33,A
MOSFIGUE1.mp3,MOSFIGUE,34,A
INÓCUO1.mp3,INÓCUO,35,A
BATISCARIA1.mp3,BATISCARIA,36,A
LOQUAZ1.mp3,LOQUAZ,37,A
CHECARIO1.mp3,CHECARIO,38,A
QUIMERA1.mp3,QUIMERA,39,A
GUETIACHO1.mp3,GUETIACHO,40,A
RUFIÃO1.mp3,RUFIÃO,41,A
PITEDA1.mp3,PITEDA,42,A
TREBODA1.mp3,TREBODA,43,A
ZARAGATOA1.mp3,ZARAGATOA,44,A
BELICOSO1.mp3,BELICOSO,45,A
VACA1.mp3,INVEJA,1,B
MACACO1.mp3,OFENSA,2,B
PIRANHA1.mp3,SEXO,3,B
PERUA1.mp3,JOIA,4,B
GATO1.mp3,BELEZA,5,B
AVIÃO1.mp3,FÁBRICA,6,B
PRÍNCIPE1.mp3,TOMATE,7,B
BRUXA1.mp3,LÂMPADA,8,B
FLOR1.mp3,GAVETA,9,B
CACHORRO1.mp3,CANETA,10,B
COBRA1.mp3,VENENO,11,B
BONECA1.mp3,INFÂNCIA,12,B
BALEIA1.mp3,EXTINÇÃO,13,B
MÚMIA1.mp3,FARAÓ,14,B
VEADO1.mp3,FLORESTA,15,B
TOLUCA1.mp3,TOLUCA,16,B
PANDECA1.mp3,PANDECA,17,B
VILCOLTO1.mp3,VILCOLTO,18,B
TREMOÇO1.mp3,TREMOÇO,19,B
AZEDUME1.mp3,AZEDUME,20,B
BOÇAL1.mp3,BOÇAL,21,B
SIDEBO1.mp3,SIDEBO,22,B
ASTÚCIA1.mp3,ASTÚCIA,23,B
LINETO1.mp3,LINETO,24,B
BALAÚSTRE1.mp3,BALAÚSTRE,25,B
CALOREDA1.mp3,CALOREDA,26,B
POCILGA1.mp3,POCILGA,27,B
PARAVO1.mp3,PARAVO,28,B
EFLÚVIO1.mp3,EFLÚVIO,29,B
BINOTA1.mp3,BINOTA,30,B
LABÉU1.mp3,LABÉU,31,B
DINOSCADO1.mp3,DINOSCADO,32,B
CUNTATÓRIO1.mp3,CUNTATÓRIO,33,B
MOSFIGUE1.mp3,MOSFIGUE,34,B
INÓCUO1.mp3,INÓCUO,35,B
BATISCARIA1.mp3,BATISCARIA,36,B
LOQUAZ1.mp3,LOQUAZ,37,B
CHECARIO1.mp3,CHECARIO,38,B
QUIMERA1.mp3,QUIMERA,39,B
GUETIACHO1.mp3,GUETIACHO,40,B
RUFIÃO1.mp3,RUFIÃO,41,B
PITEDA1.mp3,PITEDA,42,B
TREBODA1.mp3,TREBODA,43,B
ZARAGATOA1.mp3,ZARAGATOA,44,B
BELICOSO1.mp3,BELICOSO,45,B
VACA1.mp3,PIPOCA,1,C
MACACO1.mp3,ESTRELA,2,C
PIRANHA1.mp3,FITA,3,C
PERUA1.mp3,NUVEM,4,C
GATO1.mp3,CADERNO,5,C
AVIÃO1.mp3,TRANSPORTE,6,C
PRÍNCIPE1.mp3,CASTELO,7,C
BRUXA1.mp3,MAGIA,8,C
FLOR1.mp3,SEMENTE,9,C
CACHORRO1.mp3,LEALDADE,10,C
COBRA1.mp3,FALSIDADE,11,C
BONECA1.mp3,CABELO,12,C
BALEIA1.mp3,GORDURA,13,C
MÚMIA1.mp3,IDADE,14,C
VEADO1.mp3,SEXUALIDADE,15,C
TOLUCA1.mp3,TOLUCA,16,C
PANDECA1.mp3,PANDECA,17,C
VILCOLTO1.mp3,VILCOLTO,18,C
TREMOÇO1.mp3,TREMOÇO,19,C
AZEDUME1.mp3,AZEDUME,20,C
BOÇAL1.mp3,BOÇAL,21,C
SIDEBO1.mp3,SIDEBO,22,C
ASTÚCIA1.mp3,ASTÚCIA,23,C
LINETO1.mp3,LINETO,24,C
BALAÚSTRE1.mp3,BALAÚSTRE,25,C
CALOREDA1.mp3,CALOREDA,26,C
POCILGA1.mp3,POCILGA,27,C
PARAVO1.mp3,PARAVO,28,C
EFLÚVIO1.mp3,EFLÚVIO,29,C
BINOTA1.mp3,BINOTA,30,C
LABÉU1.mp3,LABÉU,31,C
DINOSCADO1.mp3,DINOSCADO,32,C
CUNTATÓRIO1.mp3,CUNTATÓRIO,33,C
MOSFIGUE1.mp3,MOSFIGUE,34,C
INÓCUO1.mp3,INÓCUO,35,C
BATISCARIA1.mp3,BATISCARIA,36,C
LOQUAZ1.mp3,LOQUAZ,37,C
CHECARIO1.mp3,CHECARIO,38,C
QUIMERA1.mp3,QUIMERA,39,C
GUETIACHO1.mp3,GUETIACHO,40,C
RUFIÃO1.mp3,RUFIÃO,41,C
PITEDA1.mp3,PITEDA,42,C
TREBODA1.mp3,TREBODA,43,C
ZARAGATOA1.mp3,ZARAGATOA,44,C
BELICOSO1.mp3,BELICOSO,45,C
